Year,Age,Sex,Country,Population
2034, 35-39,Total,Scotland,371280.0
2034, 40-44,Total,Scotland,397089.0
2034, 45-49,Total,Scotland,376449.0
2034, 50-54,Total,Scotland,352082.0
2034, 55-59,Total,Scotland,312305.0
2034, 60-64,Total,Scotland,344376.0
2034, 65-69,Total,Scotland,366820.0
2034, 70-74,Total,Scotland,335785.0
2034, 75-79,Total,Scotland,262396.0
2034, 80-84,Total,Scotland,186439.0
2034, 85-89,Total,Scotland,122788.0
2034, 90-94,Total,Scotland,46380.0
2034, 95-99,Total,Scotland,12214.0
2034, 100 & over,Total,Scotland,1489.0
2034,All ages,Total,Scotland,5527868.0
2035,  0-4,Total,Scotland,224048.0
2035,  5-9,Total,Scotland,234509.0
2035, 10-14,Total,Scotland,242793.0
2035, 15-19,Total,Scotland,282421.0
2035, 20-24,Total,Scotland,347718.0
2035, 25-29,Total,Scotland,355048.0
2035, 30-34,Total,Scotland,342164.0
2035, 35-39,Total,Scotland,369036.0
2035, 40-44,Total,Scotland,393157.0
2035, 45-49,Total,Scotland,382010.0
2035, 50-54,Total,Scotland,355357.0
2035, 55-59,Total,Scotland,317621.0
2035, 60-64,Total,Scotland,333864.0
2035, 65-69,Total,Scotland,360261.0
2035, 70-74,Total,Scotland,341929.0
2035, 75-79,Total,Scotland,269235.0
2035, 80-84,Total,Scotland,188244.0
2035, 85-89,Total,Scotland,125781.0
2035, 90-94,Total,Scotland,47423.0
2035, 95-99,Total,Scotland,12439.0
2035, 100 & over,Total,Scotland,1548.0
2035,All ages,Total,Scotland,5526606.0
2036,  0-4,Total,Scotland,223485.0
2036,  5-9,Total,Scotland,233419.0
2036, 10-14,Total,Scotland,241762.0
2036, 15-19,Total,Scotland,273239.0
2036, 20-24,Total,Scotland,342810.0
2036, 25-29,Total,Scotland,361046.0
2036, 30-34,Total,Scotland,341892.0
2036, 35-39,Total,Scotland,366064.0
2036, 40-44,Total,Scotland,386509.0
2036, 45-49,Total,Scotland,389880.0
2036, 50-54,Total,Scotland,357983.0
2036, 55-59,Total,Scotland,324718.0
2036, 60-64,Total,Scotland,322267.0
2036, 65-69,Total,Scotland,357081.0
