Year,Age,Sex,Country,Population
2035, 80-84,Total,Wales,119686.0
2035, 85-89,Total,Wales,86561.0
2035, 90-94,Total,Wales,34994.0
2035, 95-99,Total,Wales,8850.0
2035, 100 & over,Total,Wales,1132.0
2035,All ages,Total,Wales,3300570.0
2036,  0-4,Total,Wales,146327.0
2036,  5-9,Total,Wales,152581.0
2036, 10-14,Total,Wales,155888.0
2036, 15-19,Total,Wales,173066.0
2036, 20-24,Total,Wales,213249.0
2036, 25-29,Total,Wales,212898.0
2036, 30-34,Total,Wales,196126.0
2036, 35-39,Total,Wales,212487.0
2036, 40-44,Total,Wales,216303.0
2036, 45-49,Total,Wales,212059.0
2036, 50-54,Total,Wales,194972.0
2036, 55-59,Total,Wales,185844.0
2036, 60-64,Total,Wales,190639.0
2036, 65-69,Total,Wales,216365.0
2036, 70-74,Total,Wales,207413.0
2036, 75-79,Total,Wales,165111.0
2036, 80-84,Total,Wales,120322.0
2036, 85-89,Total,Wales,87041.0
2036, 90-94,Total,Wales,36317.0
2036, 95-99,Total,Wales,9000.0
2036, 100 & over,Total,Wales,1179.0
2036,All ages,Total,Wales,3305187.0
2037,  0-4,Total,Wales,146480.0
2037,  5-9,Total,Wales,152509.0
2037, 10-14,Total,Wales,156377.0
2037, 15-19,Total,Wales,168380.0
2037, 20-24,Total,Wales,210396.0
2037, 25-29,Total,Wales,214857.0
2037, 30-34,Total,Wales,199308.0
2037, 35-39,Total,Wales,208961.0
2037, 40-44,Total,Wales,215152.0
2037, 45-49,Total,Wales,217045.0
2037, 50-54,Total,Wales,197432.0
2037, 55-59,Total,Wales,189827.0
2037, 60-64,Total,Wales,183338.0
2037, 65-69,Total,Wales,213884.0
2037, 70-74,Total,Wales,208381.0
2037, 75-79,Total,Wales,169947.0
2037, 80-84,Total,Wales,122301.0
2037, 85-89,Total,Wales,84133.0
2037, 90-94,Total,Wales,40264.0
2037, 95-99,Total,Wales,9392.0
2037, 100 & over,Total,Wales,1221.0
2037,All ages,Total,Wales,3309585.0
2038,  0-4,Total,Wales,146784.0
2038,  5-9,Total,Wales,152436.0
2038, 10-14,Total,Wales,156801.0
2038, 15-19,Total,Wales,164340.0
2038, 20-24,Total,Wales,208030.0
2038, 25-29,Total,Wales,214222.0
2038, 30-34,Total,Wales,204165.0
2038, 35-39,Total,Wales,205156.0
2038, 40-44,Total,Wales,214750.0
2038, 45-49,Total,Wales,219877.0
2038, 50-54,Total,Wales,200776.0
2038, 55-59,Total,Wales,194465.0
2038, 60-64,Total,Wales,178588.0
2038, 65-69,Total,Wales,209759.0
2038, 70-74,Total,Wales,208123.0
