Year,Age,Sex,Country,Population
2037, 80-84,Total,United Kingdom,2382437.0
2037, 85-89,Total,United Kingdom,1635147.0
2037, 90-94,Total,United Kingdom,810672.0
2037, 95-99,Total,United Kingdom,189923.0
2037, 100 & over,Total,United Kingdom,25988.0
2037,All ages,Total,United Kingdom,71123615.0
2038,  0-4,Total,United Kingdom,3430587.0
2038,  5-9,Total,United Kingdom,3489500.0
2038, 10-14,Total,United Kingdom,3591731.0
2038, 15-19,Total,United Kingdom,3830701.0
2038, 20-24,Total,United Kingdom,4542132.0
2038, 25-29,Total,United Kingdom,4840720.0
2038, 30-34,Total,United Kingdom,4569040.0
2038, 35-39,Total,United Kingdom,4343325.0
2038, 40-44,Total,United Kingdom,4509310.0
2038, 45-49,Total,United Kingdom,4618705.0
2038, 50-54,Total,United Kingdom,4471041.0
2038, 55-59,Total,United Kingdom,4326474.0
2038, 60-64,Total,United Kingdom,3883677.0
2038, 65-69,Total,United Kingdom,4202860.0
2038, 70-74,Total,United Kingdom,4093910.0
2038, 75-79,Total,United Kingdom,3403076.0
2038, 80-84,Total,United Kingdom,2443115.0
2038, 85-89,Total,United Kingdom,1615116.0
2038, 90-94,Total,United Kingdom,855154.0
2038, 95-99,Total,United Kingdom,201510.0
2038, 100 & over,Total,United Kingdom,27154.0
2038,All ages,Total,United Kingdom,71288838.0
2039,  0-4,Total,United Kingdom,3457876.0
2039,  5-9,Total,United Kingdom,3492677.0
2039, 10-14,Total,United Kingdom,3586536.0
2039, 15-19,Total,United Kingdom,3765914.0
2039, 20-24,Total,United Kingdom,4489372.0
2039, 25-29,Total,United Kingdom,4852201.0
2039, 30-34,Total,United Kingdom,4655792.0
2039, 35-39,Total,United Kingdom,4324838.0
2039, 40-44,Total,United Kingdom,4494184.0
2039, 45-49,Total,United Kingdom,4616414.0
2039, 50-54,Total,United Kingdom,4510073.0
2039, 55-59,Total,United Kingdom,4351020.0
2039, 60-64,Total,United Kingdom,3911492.0
2039, 65-69,Total,United Kingdom,4111529.0000000005
2039, 70-74,Total,United Kingdom,4089106.0
2039, 75-79,Total,United Kingdom,3500694.0
2039, 80-84,Total,United Kingdom,2509096.0
2039, 85-89,Total,United Kingdom,1616531.0
2039, 90-94,Total,United Kingdom,875340.0
2039, 95-99,Total,United Kingdom,215684.0
2039, 100 & over,Total,United Kingdom,28177.0
2039,All ages,Total,United Kingdom,71454546.0
2040,  0-4,Total,United Kingdom,3489423.0
2040,  5-9,Total,United Kingdom,3499003.0
2040, 10-14,Total,United Kingdom,3580108.0
2040, 15-19,Total,United Kingdom,3724250.0
2040, 20-24,Total,United Kingdom,4416275.0
2040, 25-29,Total,United Kingdom,4849665.0
2040, 30-34,Total,United Kingdom,4741194.0
2040, 35-39,Total,United Kingdom,4336177.0
2040, 40-44,Total,United Kingdom,4481349.0
2040, 45-49,Total,United Kingdom,4585137.0
2040, 50-54,Total,United Kingdom,4537673.0
2040, 55-59,Total,United Kingdom,4363827.0
2040, 60-64,Total,United Kingdom,3985266.0
2040, 65-69,Total,United Kingdom,4028253.0
2040, 70-74,Total,United Kingdom,4058036.0
2040, 75-79,Total,United Kingdom,3591753.0
2040, 80-84,Total,United Kingdom,2586854.0
2040, 85-89,Total,United Kingdom,1624395.0
2040, 90-94,Total,United Kingdom,886475.0
2040, 95-99,Total,United Kingdom,227121.0
2040, 100 & over,Total,United Kingdom,28882.0
2040,All ages,Total,United Kingdom,71621116.0
2041,  0-4,Total,United Kingdom,3522450.0
2041,  5-9,Total,United Kingdom,3509752.0
2041, 10-14,Total,United Kingdom,3575652.0
2041, 15-19,Total,United Kingdom,3712062.0
2041, 20-24,Total,United Kingdom,4305952.0
2041, 25-29,Total,United Kingdom,4834321.0
2041, 30-34,Total,United Kingdom,4815174.0
2041, 35-39,Total,United Kingdom,4389675.0
2041, 40-44,Total,United Kingdom,4447053.0
2041, 45-49,Total,United Kingdom,4543544.0
2041, 50-54,Total,United Kingdom,4582135.0
2041, 55-59,Total,United Kingdom,4379691.0
2041, 60-64,Total,United Kingdom,4071774.0
2041, 65-69,Total,United Kingdom,3914037.0
2041, 70-74,Total,United Kingdom,4052774.0
2041, 75-79,Total,United Kingdom,3650923.0
2041, 80-84,Total,United Kingdom,2672297.0
2041, 85-89,Total,United Kingdom,1652113.0
2041, 90-94,Total,United Kingdom,888765.0
2041, 95-99,Total,United Kingdom,239117.0
2041, 100 & over,Total,United Kingdom,28936.0
2041,All ages,Total,United Kingdom,71788197.0
2042,  0-4,Total,United Kingdom,3553843.0
2042,  5-9,Total,United Kingdom,3526102.0
2042, 10-14,Total,United Kingdom,3573634.0
2042, 15-19,Total,United Kingdom,3708789.0
2042, 20-24,Total,United Kingdom,4203209.0
2042, 25-29,Total,United Kingdom,4784925.0
2042, 30-34,Total,United Kingdom,4887913.0
2042, 35-39,Total,United Kingdom,4479782.0
2042, 40-44,Total,United Kingdom,4385220.0
2042, 45-49,Total,United Kingdom,4523023.0
2042, 50-54,Total,United Kingdom,4618673.0
2042, 55-59,Total,United Kingdom,4396766.0
2042, 60-64,Total,United Kingdom,4165415.0
2042, 65-69,Total,United Kingdom,3813302.0
2042, 70-74,Total,United Kingdom,4021523.0
2042, 75-79,Total,United Kingdom,3689102.0
2042, 80-84,Total,United Kingdom,2761203.0
2042, 85-89,Total,United Kingdom,1695767.0
2042, 90-94,Total,United Kingdom,865215.0
2042, 95-99,Total,United Kingdom,271430.0
2042, 100 & over,Total,United Kingdom,30272.0
2042,All ages,Total,United Kingdom,71955108.0
2043,  0-4,Total,United Kingdom,3582358.0
2043,  5-9,Total,United Kingdom,3548145.0
2043, 10-14,Total,United Kingdom,3574137.0
2043, 15-19,Total,United Kingdom,3707896.0
2043, 20-24,Total,United Kingdom,4113787.9999999995
2043, 25-29,Total,United Kingdom,4739676.0
2043, 30-34,Total,United Kingdom,4910201.0
2043, 35-39,Total,United Kingdom,4588631.0
2043, 40-44,Total,United Kingdom,4347111.0
2043, 45-49,Total,United Kingdom,4511972.0
2043, 50-54,Total,United Kingdom,4608981.0
2043, 55-59,Total,United Kingdom,4436131.0
2043, 60-64,Total,United Kingdom,4248153.0
2043, 65-69,Total,United Kingdom,3758110.0
2043, 70-74,Total,United Kingdom,3968207.0
2043, 75-79,Total,United Kingdom,3703057.0
2043, 80-84,Total,United Kingdom,2846024.0
2043, 85-89,Total,United Kingdom,1746706.0
2043, 90-94,Total,United Kingdom,861911.0
2043, 95-99,Total,United Kingdom,287528.0
2043, 100 & over,Total,United Kingdom,32729.999999999996
2043,All ages,Total,United Kingdom,72121453.0
2044,  0-4,Total,United Kingdom,3607013.0
2044,  5-9,Total,United Kingdom,3575431.0
2044, 10-14,Total,United Kingdom,3577325.0
2044, 15-19,Total,United Kingdom,3702725.0
2044, 20-24,Total,United Kingdom,4049123.0
2044, 25-29,Total,United Kingdom,4687060.0
2044, 30-34,Total,United Kingdom,4921762.0
2044, 35-39,Total,United Kingdom,4675284.0
2044, 40-44,Total,United Kingdom,4329001.0
2044, 45-49,Total,United Kingdom,4497351.0
2044, 50-54,Total,United Kingdom,4607197.0
2044, 55-59,Total,United Kingdom,4475276.0
2044, 60-64,Total,United Kingdom,4273185.0
2044, 65-69,Total,United Kingdom,3787051.0
2044, 70-74,Total,United Kingdom,3884673.0
2044, 75-79,Total,United Kingdom,3703011.0
2044, 80-84,Total,United Kingdom,2933530.0
2044, 85-89,Total,United Kingdom,1801284.0
2044, 90-94,Total,United Kingdom,869517.0
2044, 95-99,Total,United Kingdom,294305.0
2044, 100 & over,Total,United Kingdom,35524.0
2044,All ages,Total,United Kingdom,72286628.0
2045,  0-4,Total,United Kingdom,3625898.0
2045,  5-9,Total,United Kingdom,3606983.0
2045, 10-14,Total,United Kingdom,3583656.0
2045, 15-19,Total,United Kingdom,3696317.0
2045, 20-24,Total,United Kingdom,4007549.0
2045, 25-29,Total,United Kingdom,4614130.0
2045, 30-34,Total,United Kingdom,4919337.0
2045, 35-39,Total,United Kingdom,4760585.0
2045, 40-44,Total,United Kingdom,4340598.0
2045, 45-49,Total,United Kingdom,4484954.0
2045, 50-54,Total,United Kingdom,4576770.0
2045, 55-59,Total,United Kingdom,4503218.0
2045, 60-64,Total,United Kingdom,4286989.0
2045, 65-69,Total,United Kingdom,3860312.0
2045, 70-74,Total,United Kingdom,3808577.0
2045, 75-79,Total,United Kingdom,3679173.0
2045, 80-84,Total,United Kingdom,3015133.0
2045, 85-89,Total,United Kingdom,1863469.0
2045, 90-94,Total,United Kingdom,879851.0
2045, 95-99,Total,United Kingdom,297699.0
2045, 100 & over,Total,United Kingdom,37574.0
2045,All ages,Total,United Kingdom,72448772.0
2046,  0-4,Total,United Kingdom,3637939.0
2046,  5-9,Total,United Kingdom,3640018.0
2046, 10-14,Total,United Kingdom,3594406.0
2046, 15-19,Total,United Kingdom,3691882.0
2046, 20-24,Total,United Kingdom,3995420.0
2046, 25-29,Total,United Kingdom,4504015.0
2046, 30-34,Total,United Kingdom,4904141.0
2046, 35-39,Total,United Kingdom,4834512.0
2046, 40-44,Total,United Kingdom,4394159.0
